a̱o,departamento,provincia,municipio,nivel,vuelta,coalicion,partido_lider,partido,siglas,votos
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"139,557"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,"1,327"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"5,996"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"33,764"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,"2,174"
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,146
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,89
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,122
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"5,251"
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,86
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,23
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,937"
1962,BARAHONA,BAHORUCO,NEYBA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,149
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,339
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,107
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,120
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"5,132"
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,75
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,24
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,953"
1962,BARAHONA,BAHORUCO,NEYBA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,158
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,8
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,58
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"2,826"
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,58
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,12
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,884
1962,BARAHONA,BAHORUCO,TAMAYO,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,8
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,58
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"2,826"
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,58
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,12
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,884
1962,BARAHONA,BAHORUCO,TAMAYO,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,537
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,37
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,100
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"11,627"
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,899
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,551"
1962,BARAHONA,BARANONA,BARAHONA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,379
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,561
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,38
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,95
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"11,505"
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,230
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,902
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,579"
1962,BARAHONA,BARANONA,BARAHONA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,403
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,208
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,102
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"4,417"
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,183
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,529
1962,BARAHONA,BARANONA,CABRAL,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,190
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,131
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,102
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"4,341"
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,107
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,183
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,528
1962,BARAHONA,BARANONA,CABRAL,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,97
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,132
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,38
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"3,879"
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,82
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,63
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"1,757"
1962,BARAHONA,BARANONA,ENRRIQUILLO,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,132
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,41
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,40
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"3,752"
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,87
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,72
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"1,745"
1962,BARAHONA,BARANONA,ENRRIQUILLO,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,91
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,55
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,2
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,51
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"3,825"
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,13
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"1,104"
1962,BARAHONA,INDEPENDENCIA,DUVERGE,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,47
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,60
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,2
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,74
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"3,749"
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,43
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,13
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"1,065"
1962,BARAHONA,INDEPENDENCIA,DUVERGE,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,40
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,3
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,1
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,1
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"1,056"
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,NA
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,488
1962,BARAHONA,INDEPENDENCIA,JIMANI,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,9
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,2
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,2
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,3
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"1,037"
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,15
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,NA
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,488
1962,BARAHONA,INDEPENDENCIA,JIMANI,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,16
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,1
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,3
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"1,652"
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,16
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,860
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,1
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,3
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"1,652"
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,11
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,16
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,860
1962,BARAHONA,INDEPENDENCIA,LA DESCUBIERTA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,5
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,958
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,1
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,214
1962,BARAHONA,PEDERNALES,OVIEDO,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,6
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,932
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,15
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,NA
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,212
1962,BARAHONA,PEDERNALES,OVIEDO,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,22
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,47
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,2
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,8
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"1,376"
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,18
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,322
1962,BARAHONA,PEDERNALES,PEDERNALES,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,68
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,43
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,NA
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"1,362"
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,17
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,NA
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,329
1962,BARAHONA,PEDERNALES,PEDERNALES,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,91
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,19
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,20
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,9
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"2,872"
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"1,171"
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"4,249"
